Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,8,8,654,7.3,1,1,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,1.4,1.4,0.5,1.9,0.20,0.07,0.26,0.20,0.26,Matches,9,3,33.3,1.24,0.41,0.11,0.33,18.5,0,0.16,-0.4,-0.4,158,217,72.8,2256,612,96,118,81.4,40,53,75.5,13,26,50.0,+0.5,10,6,4,2,10,193,24,0,39,4,8,11,3,8,0,154,30,33,26,174,7,4,3,0,2,12,11,20,2.75,10,4,2,1,2,3,0.41,1,0,0,1,0,1,13,9,3,6,4,6,30.0,14,47,32.4,25,63,57,0,12,14,1,0,323,2,24,56.5,15,5,229,2,15,30,329,224,68.1,50,82,90.8,82,2,0,,0,1.13,11,12,-1,-0.14,-0.14,9.8,9.4,+0.4,+0.06,+0.67,0,7,0,0,0,45,3,23,11.5,Big-5-European-Leagues,Big5,2022-2023
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.04,0.01,0.06,0.04,0.06,Matches,8,0,0.0,0.80,0.00,0.00,,12.7,0,0.05,-0.4,-0.4,285,353,80.7,5977,2291,82,95,86.3,161,179,89.9,38,68,55.9,-0.1,1,28,1,0,34,315,38,0,37,10,2,0,0,0,0,252,30,71,214,103,19,4,2,1,9,7,8,7,0.70,3,0,0,0,3,0,0.00,0,0,0,0,0,0,24,13,11,11,2,9,60.0,6,54,38.3,67,67,7,0,13,48,26,0,463,69,13,42.9,4,0,252,0,2,12,248,242,97.6,1,90,100.0,90,10,0,,0,0.80,12,19,-7,-0.70,,14.2,15.8,-1.6,-0.16,,0,15,0,0,0,85,20,7,74.1,Big-5-European-Leagues,Big5,2022-2023
Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,4,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.05,0.82,0.87,0.05,0.87,Matches,1,0,0.0,1.73,0.00,0.00,,20.2,0,0.03,0.0,0.0,43,47,91.5,800,189,20,23,87.0,15,15,100.0,8,9,88.9,-0.5,6,4,2,0,7,47,0,1,7,2,0,0,0,0,0,45,1,1,9,38,0,0,0,0,0,2,0,6,10.38,5,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,3,2,0,0,0,0,0,52,0,2,50.0,2,0,46,1,1,0,51,45,88.2,8,13,5.8,,0,4,13,5,0.00,1,2,-1,-1.73,-0.46,2.0,0.6,+1.5,+2.51,+2.60,0,1,0,0,0,7,0,2,0.0,Big-5-European-Leagues,Big5,2022-2023
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,10,10,900,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.2,0.4,0.03,0.02,0.04,0.03,0.04,Matches,6,1,16.7,0.60,0.10,0.17,1.00,22.0,0,0.04,+0.7,+0.7,554,604,91.7,9599,1830,250,269,92.9,246,259,95.0,52,66,78.8,-0.2,4,39,7,1,31,586,18,1,64,8,4,0,0,0,0,516,44,44,58,513,25,0,4,3,4,8,4,8,0.80,8,0,0,0,0,0,0.00,0,0,0,0,0,0,19,10,6,11,2,7,50.0,7,49,25.4,65,100,28,0,8,42,11,0,698,20,9,75.0,9,1,491,1,8,12,560,531,94.8,16,90,100.0,90,10,0,,0,2.10,17,8,+9,+0.90,,18.6,11.4,+7.2,+0.72,,0,27,0,0,0,79,5,9,35.7,Big-5-European-Leagues,Big5,2022-2023
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,10,10,807,9.0,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.4,0.6,0.02,0.05,0.07,0.02,0.07,Matches,4,0,0.0,0.45,0.00,0.00,,22.6,0,0.04,-0.2,-0.2,350,387,90.4,6077,1941,165,170,97.1,141,153,92.2,37,49,75.5,+0.6,6,33,2,0,25,381,6,3,73,5,1,0,0,0,0,322,35,30,25,352,7,0,0,1,4,4,5,12,1.34,9,0,1,0,1,1,0.11,1,0,0,0,0,0,32,21,25,7,0,9,28.1,23,43,28.5,88,56,7,0,10,45,16,0,483,36,1,57.1,5,0,333,1,8,8,350,335,95.7,4,81,89.7,81,7,0,,0,2.50,19,12,+7,+0.78,+0.78,13.8,15.7,-1.9,-0.21,-0.80,0,12,0,0,0,60,5,4,55.6,Big-5-European-Leagues,Big5,2022-2023
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,7,0,87,1.0,1,0,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,0.7,0.7,0.2,0.8,0.68,0.19,0.87,0.68,0.87,Matches,6,2,33.3,6.21,2.07,0.17,0.50,10.9,0,0.11,+0.3,+0.3,6,13,46.2,86,29,5,6,83.3,1,2,50.0,0,0,,-0.2,2,0,1,1,0,13,0,0,4,0,4,0,0,0,0,10,2,1,4,8,0,0,0,0,0,0,3,6,6.21,2,0,0,0,1,1,1.03,0,0,0,0,0,1,2,1,0,0,2,1,50.0,1,8,44.4,0,8,10,0,1,4,1,0,39,1,16,0.0,1,0,18,1,10,0,40,24,60.0,11,12,9.7,,0,7,12,2,2.29,4,0,+4,+4.14,+3.36,2.0,0.9,+1.1,+1.13,+0.43,0,2,0,0,0,6,3,2,60.0,Big-5-European-Leagues,Big5,2022-2023
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,10,9,772,8.6,3,3,3,0,0,1,0,0.35,0.35,0.70,0.35,0.70,1.6,1.6,1.7,3.3,0.19,0.19,0.38,0.19,0.38,Matches,18,6,33.3,2.10,0.70,0.17,0.50,16.6,0,0.09,+1.4,+1.4,151,221,68.3,1950,509,111,130,85.4,36,58,62.1,1,8,12.5,+1.3,6,5,3,0,13,214,7,0,34,0,14,0,0,0,0,171,30,20,144,62,5,7,1,1,6,14,16,16,1.87,8,1,1,5,1,3,0.35,3,0,0,0,0,0,14,9,6,3,5,4,23.5,13,31,23.8,30,46,54,0,6,24,6,0,345,9,51,39.4,16,3,257,16,25,11,365,252,69.0,68,77,85.8,83,5,1,25,0,1.20,13,15,-2,-0.23,-0.23,9.8,12.9,-3.1,-0.36,+0.16,0,13,0,0,0,36,6,12,33.3,Big-5-European-Leagues,Big5,2022-2023
Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,9,7,638,7.1,2,1,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,4.8,4.8,1.3,6.1,0.68,0.19,0.86,0.68,0.86,Matches,27,11,40.7,3.81,1.55,0.07,0.18,11.6,0,0.18,-2.8,-2.8,94,130,72.3,1458,350,51,63,81.0,36,52,69.2,5,7,71.4,-0.3,9,10,3,0,13,117,13,2,42,1,1,0,0,0,0,73,28,29,10,76,14,1,10,1,3,4,4,27,3.81,14,0,2,3,0,4,0.56,1,0,0,2,1,0,4,2,2,1,1,0,0.0,3,12,18.2,7,19,40,0,3,7,5,0,233,5,47,25.0,7,3,114,6,21,12,313,176,56.2,52,71,78.8,80,2,2,39,0,2.11,10,6,+4,+0.56,+1.09,15.2,5.1,+10.0,+1.42,+0.64,0,9,1,0,0,21,26,14,65.0,Big-5-European-Leagues,Big5,2022-2023
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,3,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,1,0,0.0,0.35,0.00,0.00,,9.0,0,0.06,-0.1,-0.1,196,212,92.5,4175,1114,56,61,91.8,110,117,94.0,28,32,87.5,0.0,1,9,1,0,10,203,9,0,24,5,0,0,0,0,0,174,9,29,160,36,8,0,0,0,4,0,0,3,1.05,3,0,0,0,0,0,0.00,0,0,0,0,0,0,5,3,5,0,0,1,100.0,0,5,45.5,7,4,0,0,3,7,12,0,239,35,1,,0,0,160,0,1,0,179,179,100.0,0,86,31.9,86,2,0,,2,1.00,4,4,0,0.00,-0.33,3.3,2.8,+0.5,+0.17,-0.85,0,3,0,0,0,25,13,2,86.7,Big-5-European-Leagues,Big5,2022-2023
Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.09,0.07,0.16,0.09,0.16,Matches,1,0,0.0,2.50,0.00,0.00,,25.0,0,0.04,0.0,0.0,19,22,86.4,307,104,9,9,100.0,9,11,81.8,1,2,50.0,0.0,1,1,0,0,2,21,1,0,1,0,0,1,0,1,0,19,1,2,19,3,0,0,0,0,0,1,0,2,5.00,1,0,1,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,2,25.0,1,4,3,0,0,3,0,0,26,0,0,100.0,3,0,25,0,0,2,22,20,90.9,1,18,4.0,,0,2,18,5,0.50,1,0,+1,+2.50,+3.54,0.5,0.0,+0.5,+1.16,+1.87,0,2,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2022-2023
