Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Dickson Abiama,ng NGA,FW,Greuther FÃ¼rth,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,Matches,18,4,22.2,2.23,0.50,0.00,0.00,15.6,0,0.12,-2.2,-2.2,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,-0.1,8,7,6,0,13,130,9,1,42,2,2,0,0,0,0,87,32,20,27,76,19,0,3,2,5,5,9,20,2.48,12,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,39,20.5,21,81,88,0,7,22,7,0,267,9,31,33.3,7,1,154,7,41,11,335,171,51.0,48,30,23.7,79,2,19,17,8,0.46,8,29,-21,-2.60,-1.33,7.1,16.6,-9.5,-1.17,-0.40,0,18,0,0,0,39,22,40,35.5,Bundesliga,20,2021-2022
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.5,0.5,0.3,0.8,0.19,0.10,0.29,0.19,0.29,Matches,11,2,18.2,3.82,0.69,0.00,0.00,15.8,0,0.05,-0.5,-0.5,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,+0.7,2,3,2,2,3,69,2,0,26,1,6,0,0,0,0,35,18,18,12,35,5,2,1,1,2,4,5,5,1.74,3,0,1,0,0,1,0.35,0,0,0,1,0,0,2,2,0,1,1,2,66.7,1,20,29.0,5,29,35,0,3,2,1,0,130,1,18,50.0,5,0,78,5,16,8,166,101,60.8,31,20,8.5,72,0,12,16,6,1.23,4,4,0,0.00,+0.13,4.3,5.5,-1.2,-0.41,-0.21,0,6,0,0,0,15,20,11,64.5,Bundesliga,20,2021-2022
Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,Matches,2,0,0.0,0.13,0.00,0.00,,19.4,0,0.08,-0.2,-0.2,792,914,86.7,13102,3265,397,435,91.3,299,333,89.8,73,101,72.3,+0.2,8,74,10,0,62,874,40,1,151,6,3,0,0,0,0,717,86,111,130,702,43,14,4,4,9,24,22,25,1.67,23,0,1,0,0,4,0.27,4,0,0,0,0,0,26,16,6,17,3,8,28.6,20,104,32.0,89,198,38,0,31,49,20,1,1064,29,12,58.8,10,0,720,3,10,17,802,741,92.4,18,56,44.2,84,8,12,29,6,1.88,27,14,+13,+0.87,-0.29,28.2,19.3,+8.9,+0.59,-0.08,0,20,0,0,0,159,23,12,65.7,Bundesliga,20,2021-2022
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches,3,2,66.7,0.82,0.54,0.33,0.50,16.7,0,0.17,+0.5,+0.5,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,-0.7,4,5,4,2,9,93,5,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,0,3,5,7,11,2.99,8,0,2,0,1,1,0.27,1,0,0,0,0,0,13,8,8,4,1,5,38.5,8,27,33.3,17,41,23,0,5,16,2,0,153,4,12,66.7,6,1,104,0,12,13,152,96,63.2,24,25,10.8,76,0,11,16,3,1.85,7,6,+1,+0.27,+0.37,7.3,5.1,+2.2,+0.61,+0.60,0,6,0,0,0,26,5,13,27.8,Bundesliga,20,2021-2022
Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,Matches,38,19,50.0,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,+0.2,13,30,16,8,40,501,19,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,5,7,39,20,47,3.37,31,1,3,4,4,7,0.50,5,0,0,1,1,0,38,25,14,18,6,17,58.6,12,93,31.0,63,123,114,0,31,55,8,0,764,10,67,53.3,27,1,562,19,43,33,733,546,74.5,92,50,41.0,75,3,12,23,0,1.76,24,22,+2,+0.14,-1.40,23.6,19.0,+4.6,+0.33,-0.45,0,27,0,0,0,92,19,35,35.2,Bundesliga,20,2021-2022
Naouirou Ahamada,fr FRA,MF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0.0,0,0,0,0,1,33,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,6,35.3,4,10,3,0,2,0,2,0,39,0,0,,0,0,34,0,0,1,35,32,91.4,1,20,2.0,,0,3,20,9,0.00,1,1,0,0.00,+0.54,1.1,0.7,+0.4,+0.55,+0.75,0,2,0,0,0,3,1,3,25.0,Bundesliga,20,2021-2022
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.1,2.0,0.07,0.00,0.08,0.07,0.08,Matches,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0.13,-0.8,-0.8,1801,1986,90.7,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,-0.1,2,130,3,0,121,1922,64,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,3,22,26,15,11,0.44,8,1,1,0,0,0,0.00,0,0,0,0,0,0,50,36,29,16,5,22,61.1,14,113,45.9,140,92,14,0,20,97,73,0,2198,256,22,100.0,7,0,1526,0,5,4,1686,1665,98.8,6,87,73.9,89,23,1,45,0,2.00,64,44,+20,+0.80,-0.67,47.0,35.2,+11.8,+0.47,-0.40,0,23,0,0,1,240,64,39,62.1,Bundesliga,20,2021-2022
Kevin Akpoguma,ng NGA,DF,Hoffenheim,26,1995,26,19,1527,17.0,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches,12,4,33.3,0.71,0.24,0.17,0.50,12.7,0,0.10,+0.8,+0.8,721,930,77.5,13623,5475,297,348,85.3,331,395,83.8,85,152,55.9,-0.1,12,55,13,2,79,752,178,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,3,23,36,36,27,1.59,18,1,3,1,1,4,0.24,2,0,0,1,0,1,37,20,17,12,8,18,56.3,14,75,29.5,100,102,52,0,54,72,32,2,1143,63,35,51.4,19,2,643,13,18,14,706,635,89.9,20,59,49.9,71,5,7,24,4,1.50,34,30,+4,+0.24,+0.59,26.8,24.9,+1.9,+0.11,+0.07,0,30,0,1,0,144,23,22,51.1,Bundesliga,20,2021-2022
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,0.82,0.00,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.90,0.16,1.05,0.79,0.95,Matches,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0.25,-0.5,+0.2,106,155,68.4,1417,230,66,92,71.7,33,43,76.7,2,7,28.6,-1.1,7,1,2,0,7,147,8,1,47,1,3,0,0,0,0,96,33,26,12,108,14,2,2,0,3,8,4,25,3.44,16,0,5,3,0,4,0.55,3,0,1,0,0,0,5,4,0,4,1,2,66.7,1,30,29.4,6,40,56,0,7,8,6,0,252,7,54,84.6,11,2,164,4,24,16,303,196,64.7,55,24,21.4,79,3,22,12,2,1.74,17,9,+8,+1.10,+0.16,17.0,8.1,+8.9,+1.22,+0.80,0,8,1,0,0,25,20,35,36.4,Bundesliga,20,2021-2022
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,Matches,8,2,25.0,1.95,0.49,0.13,0.50,20.1,1,0.06,+0.5,+0.5,184,223,82.5,3349,583,81,93,87.1,77,87,88.5,21,32,65.6,-0.2,3,9,9,0,18,214,9,0,45,14,3,5,1,4,0,178,19,26,19,200,2,2,0,1,3,5,2,7,1.71,5,1,0,1,0,1,0.24,0,0,0,0,1,0,8,4,4,2,2,4,57.1,3,23,40.4,14,30,13,0,4,13,2,0,280,1,9,50.0,7,1,207,1,6,8,245,211,86.1,24,28,12.1,80,1,10,13,5,2.00,6,6,0,0.00,-1.10,7.3,5.8,+1.5,+0.37,-0.25,0,1,0,0,0,37,1,4,20.0,Bundesliga,20,2021-2022
